method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 0 faces, Not Detected: 1
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
method: BlazeDetector, Detected: 1 faces, Not Detected: 0
