method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 0 faces, Not Detected: 1
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 0 faces, Not Detected: 1
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibCNNFaceDetector, Detected: 1 faces, Not Detected: 0
