method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
method: DlibHOGFaceDetector, Detected: 1 faces, Not Detected: 0
